PUF_ID,PPEDUC,agecat,HEALTH,PPETHM,PPGENDER,PPMARIT,PPREG4,HOUSING,HOUSESAT,KIDS_1,KIDS_2,KIDS_3,KIDS_3,fpl,PPINCIMP,EMPLOY1_1,EMPLOY1_2,EMPLOY1_3,EMPLOY1_4,EMPLOY1_5,EMPLOY1_6,EMPLOY1_7,EMPLOY1_8,EMPLOY1_9,BENEFITS_1,BENEFITS_2,BENEFITS_3,BENEFITS_4,BENEFITS_5,MILITARY,HOUSERANGES,SHOCKS_1,SHOCKS_2,SHOCKS_3,SHOCKS_4,SHOCKS_5,SHOCKS_6,SHOCKS_7,SHOCKS_8,SHOCKS_9,SHOCKS_10,SHOCKS_11,SHOCKS_12,SWB_1,SWB_2,SWB_3,CHANGEABLE,LIVINGARRANGEMENT,EARNERS,SNAP,PAREDUC,DISTRESS,SELFCONTROL_1,SELFCONTROL_2,SELFCONTROL_3,OUTLOOK_1,OUTLOOK_2,INTERCONNECTIONS_1,INTERCONNECTIONS_2,INTERCONNECTIONS_3,INTERCONNECTIONS_4,INTERCONNECTIONS_5,INTERCONNECTIONS_6,INTERCONNECTIONS_7,INTERCONNECTIONS_8,INTERCONNECTIONS_9,INTERCONNECTIONS_10,PPHHSIZE,PPT01,PPT25,PPT612,PPT1317,PPT18OV,FWBscore,FWBscore_wt
10350,4,8,2,1,1,3,4,1,4,0,0,0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,5,5,6,4,1,1,0,4,4,2,3,3,3,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,55,20.201053267845946
7740,2,3,3,1,1,3,2,1,3,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,2,2,2,0,2,3,2,4,3,2,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,51,67.70559630082437
13699,3,3,3,2,1,3,4,1,3,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,6,2,2,0,3,2,3,3,3,4,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,2,49,40.92263478381986
7375,2,2,3,3,1,1,2,2,3,0,0,0,0,3,7,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,4,4,4,3,2,8,2,3,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,4,49,208.77273902458364
10910,4,2,5,1,1,1,2,1,4,0,0,0,0,3,7,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,5,7,5,1,2,1,0,4,4,1,3,3,3,5,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,67,50.92407870062404
11079,4,3,3,4,2,1,2,1,2,0,2,1,1,3,7,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,1,5,4,7,4,2,1,0,5,4,1,3,3,4,2,0,1,0,0,0,0,0,0,0,0,5,0,0,1,1,3,51,69.89660872358056
7741,1,2,2,1,2,4,2,3,2,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,2,2,2,4,3,1,1,2,5,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,47,56.0881580929417
9688,2,4,3,1,1,1,1,1,2,0,0,0,0,3,8,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,4,5,4,3,2,1,0,2,4,2,3,3,3,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,58,73.46293508953072
13180,3,1,5,1,1,1,4,2,4,0,0,0,0,3,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,7,7,7,3,2,2,0,5,2,2,3,4,5,4,1,0,1,0,0,0,0,0,0,0,5,0,0,0,1,3,78,73.15714534935731
10127,4,6,5,1,2,1,4,1,4,0,0,0,0,3,8,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,5,7,7,3,2,2,0,4,3,2,4,3,4,5,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,62,46.20011278593199
7852,3,1,4,1,2,4,3,3,3,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,5,3,2,0,3,4,2,3,3,4,5,0,0,1,0,1,0,1,1,0,0,4,0,0,0,1,3,50,64.628817037524
7376,4,2,4,1,1,4,4,3,3,0,0,0,0,3,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,3,2,0,5,4,1,3,3,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,40,45.6373448580916
8304,5,2,3,1,1,1,3,1,4,1,0,0,0,3,9,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,5,7,7,1,2,1,0,4,4,1,3,4,5,5,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,2,61,49.44661681746753
11726,1,2,3,4,1,5,3,2,4,2,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,6,7,4,2,2,1,1,3,1,3,3,5,4,0,1,0,0,0,0,0,0,0,0,5,1,1,1,1,3,69,295.5949411041484
8121,3,1,3,1,2,1,3,2,4,0,0,0,0,3,3,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,3,2,2,0,3,4,3,2,2,2,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,52,54.349386877430845
8122,5,7,3,1,1,1,1,1,4,0,0,0,0,3,9,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,6,7,2,2,1,0,5,4,3,3,2,3,4,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,69,34.15868942467941
12990,2,6,2,2,2,3,3,1,4,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,7,7,7,5,1,1,0,3,1,1,3,3,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,67,58.08896207155393
10548,3,3,4,1,2,1,4,1,4,0,1,1,1,3,8,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,5,2,2,0,3,5,2,2,2,2,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,40,52.06026141523439
13389,4,4,2,3,1,1,4,1,3,0,0,2,2,3,6,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,2,0,4,3,2,2,2,4,4,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,4,51,59.3293652292072
10351,5,6,3,3,1,5,4,1,3,0,0,0,0,3,8,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,4,2,2,0,3,3,2,3,3,4,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,61,27.480119009041687
13255,3,2,3,1,2,5,1,2,4,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,5,3,4,2,2,2,0,5,4,2,1,2,4,4,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,2,37,38.64054918764357
7853,3,3,5,2,2,4,2,2,3,0,0,0,0,3,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,7,7,7,1,1,1,8,3,1,2,4,3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,47,73.92177509076616
12675,4,8,3,4,1,1,3,2,3,0,0,0,0,3,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,7,7,7,5,2,2,0,1,3,1,4,3,5,4,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,4,64,23.637736271127487
11353,2,8,3,1,1,1,3,1,4,0,0,0,0,3,8,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,6,6,4,4,1,0,5,2,3,2,3,4,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,80,31.139369146078
9433,3,4,3,2,1,1,2,2,3,0,0,0,0,3,7,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,5,2,2,0,3,3,1,3,3,3,4,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,2,63,52.17100425706497
12518,2,5,4,1,2,1,4,1,3,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,5,0,0,0,0,1,0,0,0,0,0,1,0,5,5,4,5,2,2,0,5,3,1,3,3,4,2,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,2,52,56.645914204658474
10549,2,8,3,1,2,1,2,1,4,0,0,0,0,3,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0,0,0,6,5,5,3,2,2,0,2,3,2,2,3,3,2,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,62,38.20726257265453
8518,2,3,3,1,1,4,1,3,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,5,3,1,0,2,3,3,2,3,1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,40,41.537874877638004
11727,2,3,2,1,1,1,3,1,3,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,1,1,0,0,0,0,1,0,0,4,3,4,4,2,1,1,2,3,3,2,2,4,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,3,33,33.335534943193885
10911,3,2,4,1,1,5,3,2,3,0,0,0,0,3,7,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,5,7,7,5,2,2,0,2,4,1,4,3,5,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,45,68.1978146769621
8945,2,2,4,2,2,4,2,2,3,2,1,0,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,1,1,1,2,5,2,3,3,4,3,0,0,0,0,1,0,1,1,0,0,4,0,1,1,0,1,33,49.35793698562551
11354,3,1,4,4,1,4,4,2,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,5,7,6,2,3,3,0,1,2,2,3,3,4,4,1,1,1,1,1,1,1,1,0,0,5,0,0,0,1,4,54,34.533822635827576
12162,5,2,3,1,2,5,3,2,3,0,0,0,0,3,8,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,2,2,2,0,5,5,3,3,3,2,4,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,39,30.814141229997293
7854,2,3,4,1,1,3,2,1,4,1,0,1,1,3,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,4,7,2,5,1,0,2,4,3,3,4,5,4,0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,2,56,74.34339985972872
11080,3,5,4,2,1,1,3,1,3,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,6,7,7,4,2,2,0,2,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,38,26.537848254399375
10757,3,6,4,1,1,1,4,1,4,0,0,0,0,3,9,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,6,5,1,2,2,0,5,2,1,3,3,4,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,77,49.41082519597324
10758,5,4,4,1,1,1,3,1,4,0,0,0,0,3,8,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,7,7,7,4,2,2,0,4,1,2,4,4,5,5,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,4,57,32.87889711967122
10128,3,6,4,1,2,1,4,1,4,0,0,0,0,3,9,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,7,7,4,2,2,1,0,2,1,2,2,2,3,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,71,44.90107684486602
14399,3,6,3,3,2,3,3,1,3,0,0,2,2,3,7,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,5,5,6,4,2,1,0,2,4,2,3,3,4,2,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,52,28.529725854663283
10352,4,2,3,1,2,4,3,3,2,2,0,0,0,2,3,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,1,0,1,0,1,1,0,0,0,0,0,5,5,5,3,3,3,0,3,4,2,2,3,2,4,1,0,1,0,1,0,0,0,0,0,4,0,1,0,0,3,51,47.942669114141296
12163,4,4,3,1,1,1,1,1,3,0,1,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,4,2,1,0,4,5,3,3,2,3,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,30,18.10156678322781
10353,2,2,4,1,1,4,2,3,3,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4,5,5,4,3,3,0,3,2,2,3,2,2,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,60,86.1441447107934
12676,3,6,4,1,1,3,4,1,4,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,4,5,6,1,1,0,3,4,3,2,3,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,34,27.23780551676594
8305,5,8,3,1,1,1,2,1,4,0,0,0,0,3,8,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,5,2,1,0,5,2,2,3,3,3,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,76,18.432249364750664
8946,3,4,3,1,2,1,4,1,3,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,3,2,2,1,3,4,2,2,2,4,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,47,65.43248591110235
14079,4,2,3,4,1,3,4,2,3,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,1,0,1,0,1,0,0,0,0,1,0,4,5,6,2,1,1,0,4,4,3,2,2,4,4,0,0,0,0,0,0,0,0,0,1,5,0,1,1,0,4,37,14.869500532665787
13243,2,5,3,1,1,3,2,1,4,0,0,0,0,3,8,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,6,6,5,2,2,2,0,2,2,2,3,4,5,5,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,71,80.7733295195666
9183,3,2,4,4,1,4,2,1,3,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,4,7,7,2,3,3,0,3,4,1,3,3,5,4,1,1,1,1,1,1,0,1,0,0,3,0,0,0,0,3,47,56.61979949492574
12560,5,4,3,4,2,1,4,2,3,1,0,0,0,3,9,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,7,0,1,0,1,1,0,1,0,0,0,1,0,5,5,4,2,2,3,8,5,4,2,2,3,4,4,1,0,1,1,1,0,1,1,1,0,5,1,0,0,0,4,43,42.89426406942694
11222,3,6,3,4,2,1,1,1,3,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,5,6,5,5,2,2,0,4,4,3,2,2,4,3,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,50,18.23075267459285
11081,5,7,3,1,2,4,2,1,4,0,0,0,0,3,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,1,1,1,0,2,3,1,3,3,3,3,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,59,25.744736589079622
8947,5,3,5,1,1,1,4,2,4,2,2,0,0,3,7,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,7,6,6,3,2,1,0,4,4,2,3,4,3,5,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,2,61,25.846129374756657
8306,5,5,4,1,1,1,1,1,4,0,0,0,0,3,9,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,7,0,0,0,0,0,0,0,0,1,0,1,0,7,7,6,2,2,2,0,5,2,1,3,3,5,4,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,69,45.216017411330625
9915,4,4,5,3,2,1,3,1,4,0,1,0,0,3,9,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,3,2,2,0,1,4,3,2,3,4,4,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,2,70,267.8386278097908
8712,2,2,2,1,2,5,2,2,2,1,1,0,0,3,7,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,4,4,3,2,2,0,2,4,1,3,3,1,4,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,2,42,64.98417465461375
12710,3,6,4,1,1,1,3,1,4,0,0,0,0,3,7,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,5,6,2,2,1,0,3,1,2,3,3,5,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,73,36.15240932651033
10129,5,6,4,1,1,1,1,1,4,2,0,0,0,3,9,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,7,0,0,0,1,1,0,0,0,1,1,0,0,7,6,6,6,2,3,0,5,3,2,3,1,3,4,0,1,1,0,0,0,1,0,0,0,5,1,1,0,0,4,62,30.69331513521918
11082,5,6,4,1,2,1,3,1,3,0,0,0,0,3,7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,1,6,6,5,4,4,2,0,5,3,1,1,1,4,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,62,28.26139937285825
12298,4,3,3,1,1,4,1,1,4,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,3,1,1,0,4,5,2,3,3,3,5,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,52,31.376049090928202
